###RTT Client: ************************************************************ 
###RTT Client: *               SEGGER Microcontroller GmbH                * 
###RTT Client: *   Solutions for real time microcontroller applications   * 
###RTT Client: ************************************************************ 
###RTT Client: *                                                          * 
###RTT Client: *       (c) 2012 - 2016  SEGGER Microcontroller GmbH       * 
###RTT Client: *                                                          * 
###RTT Client: *     www.segger.com     Support: support@segger.com       * 
###RTT Client: *                                                          * 
###RTT Client: ************************************************************ 
###RTT Client: *                                                          * 
###RTT Client: * SEGGER J-Link RTT Client   Compiled Mar  5 2026 11:08:33 * 
###RTT Client: *                                                          * 
###RTT Client: ************************************************************ 

###RTT Client: -----------------------------------------------
###RTT Client: Connecting to J-Link RTT Server via localhost:19021 ............................
###RTT Client: Connected.

SEGGER J-Link V9.18 - Real time terminal output
SEGGER J-Link V9.7, SN=602712484
Process: Ozone

###RTT Client: Connection lost. Going to reconnect.
###RTT Client: Connecting to J-Link RTT Server via localhost:19021 ...
###RTT Client: Connected.

SEGGER J-Link V9.18 - Real time terminal output
SEGGER J-Link V9.7, SN=602712484
Process: Ozone
time,gx,gy,gz
152,-180,78,-7
154,-183,79,-7
156,-187,80,-8
158,-190,82,-8
160,-193,83,-8
162,-196,85,-8
164,-198,86,-8
166,-201,88,-9
168,-204,90,-9
170,-208,91,-9
172,-211,93,-9
174,-214,95,-10
176,-217,96,-10
178,-219,98,-10
180,-221,100,-10
182,-223,101,-11
184,-225,103,-11
186,-228,104,-11
188,-231,106,-11
190,-234,107,-12
192,-237,108,-12
194,-240,110,-13
196,-243,111,-13
198,-246,113,-13
200,-248,114,-14
202,-251,115,-14
204,-254,117,-14
206,-257,118,-15
208,-260,119,-15
222,-278,124,-17
224,-281,125,-18
226,-284,126,-18
228,-286,127,-18
230,-289,127,-19
232,-292,128,-19
244,-305,133,-21
246,-308,134,-21
248,-310,135,-21
250,-312,135,-22
252,-314,136,-22
254,-316,137,-22
268,-331,143,-24
270,-334,144,-25
272,-336,144,-25
274,-338,145,-25
276,-340,146,-25
278,-342,146,-26
290,-355,149,-28
292,-358,150,-28
294,-360,150,-28
296,-362,151,-29
298,-365,151,-29
300,-367,151,-29
302,-369,152,-29
304,-371,152,-30
306,-373,153,-30
308,-376,154,-31
310,-378,155,-31
312,-381,155,-31
314,-384,155,-32
316,-386,156,-32
318,-389,156,-32
320,-391,157,-33
322,-393,157,-33
324,-395,158,-33
326,-397,159,-33
328,-399,160,-34
330,-401,161,-34
332,-403,161,-34
334,-406,162,-35
336,-408,163,-35
338,-410,163,-35
340,-412,164,-35
342,-414,165,-36
344,-416,166,-36
346,-417,166,-36
348,-418,166,-36
350,-420,167,-36
352,-422,167,-37
354,-423,168,-37
356,-425,168,-37
358,-428,169,-37
360,-430,170,-38
362,-432,171,-38
364,-435,172,-38
366,-437,173,-39
368,-440,175,-39
370,-442,176,-40
372,-444,177,-40
374,-446,178,-40
376,-448,179,-40
378,-450,180,-41
380,-452,181,-41
382,-453,182,-41
384,-455,183,-42
386,-457,184,-42
388,-458,185,-42
390,-460,186,-42
392,-461,187,-43
394,-463,188,-43
396,-465,190,-43
398,-466,191,-43
400,-468,191,-44
402,-469,192,-44
404,-471,193,-44
406,-472,193,-44
408,-474,194,-45
410,-475,194,-45
412,-476,195,-45
414,-478,195,-46
416,-479,196,-46
418,-481,195,-46
420,-482,195,-46
422,-484,195,-47
424,-486,196,-47
426,-488,196,-48
428,-490,197,-48
430,-491,197,-48
432,-493,198,-49
434,-494,199,-49
436,-496,200,-49
438,-499,201,-50
440,-501,202,-50
442,-504,202,-51
444,-507,203,-52
446,-510,203,-52
448,-512,204,-53
450,-514,205,-53
452,-515,205,-53
454,-516,206,-54
456,-516,206,-54
458,-518,206,-54
460,-519,206,-54
462,-523,207,-55
464,-526,206,-56
466,-529,205,-57
468,-530,205,-57
470,-531,205,-57
472,-531,204,-57
474,-531,205,-57
476,-531,205,-57
478,-533,206,-58
480,-535,206,-58
482,-538,206,-59
484,-541,206,-60
486,-545,206,-61
488,-548,207,-61
490,-549,208,-62
492,-552,209,-62
494,-555,210,-63
496,-558,212,-64
498,-561,213,-65
500,-563,213,-65
502,-566,214,-66
504,-569,215,-66
506,-571,215,-67
508,-572,217,-67
510,-573,217,-67
512,-575,219,-68
514,-576,219,-68
516,-578,220,-68
518,-580,220,-69
520,-583,221,-69
522,-586,221,-70
524,-587,222,-70
526,-590,222,-71
528,-592,222,-71
530,-594,222,-72
532,-595,222,-72
534,-597,221,-72
536,-598,221,-72
538,-600,221,-73
540,-601,221,-73
542,-603,221,-73
544,-605,222,-74
546,-607,222,-74
548,-609,223,-74
550,-610,223,-74
552,-612,223,-75
554,-613,223,-75
556,-615,223,-75
558,-615,223,-75
560,-618,222,-76
562,-618,222,-76
564,-620,222,-76
566,-622,222,-76
568,-624,222,-77
570,-625,221,-77
572,-627,221,-77
574,-629,221,-77
576,-630,221,-78
578,-631,220,-78
580,-633,220,-78
582,-634,220,-78
584,-635,220,-78
586,-636,220,-78
588,-637,220,-78
590,-638,220,-79
592,-639,220,-79
594,-641,220,-79
596,-642,220,-79
598,-643,220,-79
600,-644,220,-79
602,-646,220,-79
604,-647,220,-80
606,-649,221,-80
608,-651,221,-80
610,-653,221,-80
612,-655,222,-81
614,-656,223,-81
616,-658,224,-81
618,-658,225,-81
620,-659,226,-81
622,-661,228,-81
624,-663,229,-82
626,-666,229,-82
628,-668,229,-82
630,-670,229,-83
632,-673,230,-83
634,-675,230,-84
636,-677,231,-84
638,-678,231,-84
640,-680,232,-84
642,-682,233,-85
644,-684,233,-85
646,-685,234,-85
648,-686,234,-86
650,-687,234,-86
652,-690,235,-86
654,-691,235,-87
656,-693,235,-87
658,-694,236,-88
660,-695,236,-88
662,-697,237,-88
664,-698,237,-89
666,-699,237,-89
668,-700,237,-89
670,-701,238,-90
672,-703,238,-90
674,-704,238,-90
676,-705,238,-91
678,-706,238,-91
680,-707,238,-91
682,-708,238,-92
684,-709,238,-92
686,-710,238,-92
688,-711,238,-93
690,-712,237,-93
692,-714,238,-93
694,-715,238,-94
696,-716,238,-94
698,-717,238,-94
700,-718,238,-95
702,-720,238,-95
704,-721,238,-95
706,-722,238,-96
708,-723,238,-96
710,-725,239,-96
712,-726,238,-97
714,-727,238,-97
716,-729,238,-98
718,-730,238,-98
720,-731,238,-98
722,-732,238,-99
724,-734,238,-99
726,-735,238,-99
728,-736,238,-100
730,-738,238,-100
732,-740,238,-101
734,-742,238,-101
736,-743,238,-102
738,-745,238,-102
740,-747,238,-102
742,-748,238,-103
744,-750,238,-103
746,-751,238,-104
748,-753,238,-104
750,-755,238,-105
752,-756,238,-105
754,-756,238,-105
756,-757,238,-105
758,-757,238,-106
772,-758,239,-106
774,-758,240,-106
776,-758,239,-107
778,-758,240,-107
780,-758,240,-107
782,-758,240,-107
784,-757,240,-106
786,-757,240,-106
788,-757,240,-106
790,-756,241,-106
792,-756,241,-106
794,-756,241,-106
796,-756,241,-106
798,-756,241,-106
800,-756,241,-106
802,-756,241,-106
804,-755,241,-106
806,-755,241,-106
808,-756,240,-106
810,-756,240,-106
812,-756,240,-106
814,-756,240,-106
816,-757,240,-106
818,-757,240,-106
820,-758,240,-106
822,-758,240,-106
824,-758,240,-106
826,-758,240,-106
828,-758,240,-107
830,-758,241,-106
832,-758,241,-106
834,-758,241,-106
836,-758,241,-106
838,-758,242,-106
840,-758,242,-106
842,-758,242,-106
844,-758,242,-106
846,-758,242,-106
848,-758,242,-106
850,-758,243,-106
852,-759,243,-106
854,-759,243,-107
856,-759,244,-106
858,-759,245,-106
860,-759,246,-106
862,-759,247,-106
864,-759,247,-106
866,-759,247,-107
868,-760,247,-107
870,-760,248,-107
872,-760,248,-107
874,-760,248,-107
876,-760,248,-107
878,-760,249,-107
880,-760,249,-107
882,-760,250,-107
884,-758,250,-107
886,-758,250,-107
888,-758,250,-107
890,-757,250,-107
892,-756,250,-106
894,-756,250,-106
896,-755,251,-106
898,-755,251,-106
900,-754,251,-106
902,-754,251,-106
904,-753,251,-106
906,-753,252,-106
908,-752,252,-106
910,-751,252,-106
912,-752,252,-106
914,-751,253,-106
916,-750,253,-105
918,-750,254,-105
920,-749,254,-105
934,-745,255,-104
936,-743,255,-104
938,-742,256,-104
940,-742,256,-104
942,-741,256,-104
944,-741,256,-104
946,-740,256,-103
948,-739,256,-103
950,-739,256,-103
952,-739,256,-103
954,-739,256,-103
956,-739,256,-103
958,-739,256,-103
960,-739,256,-103
962,-739,257,-103
964,-739,257,-103
966,-739,257,-103
968,-739,257,-103
970,-738,257,-103
972,-738,257,-103
974,-738,257,-103
976,-738,257,-103
978,-738,257,-103
980,-738,257,-103
982,-737,257,-103
984,-737,257,-103
986,-736,257,-103
988,-736,257,-102
990,-735,258,-102
992,-735,258,-102
994,-735,258,-102
996,-734,258,-102
998,-734,258,-102
1000,-734,259,-102
1002,-734,259,-102
1004,-734,259,-102
1006,-733,259,-102
1008,-733,259,-102
1010,-733,259,-102
1012,-733,260,-102
1014,-733,260,-102
1016,-733,260,-102
1018,-733,260,-102
1020,-733,260,-102
1022,-733,260,-102
1024,-733,260,-102
1026,-733,260,-101
1028,-733,260,-101
1030,-733,260,-101
1032,-733,259,-101
1034,-732,259,-101
1036,-732,260,-101
1038,-732,260,-101
1040,-732,259,-101
1042,-732,259,-101
1044,-731,260,-101
1046,-732,260,-101
1048,-731,259,-101
1050,-731,259,-101
1052,-731,259,-101
